report_name,space_name,report_url,days_since_last_run,purity,data_sources,has_from_definition,reasons
[ORIOL] Control Credits,1-Coses meves,https://app.mode.com/editor/ecooltra706/reports/804ca56d1b98,2551,pure,EF_postgresql,no,antic_+2anys
Locations KPIs,DATA,https://app.mode.com/editor/ecooltra706/reports/30aa664d4f25,2511,pure,EF_postgresql,no,antic_+2anys
Finance monthly export per city,2-ORIOL Procés tancament mensual,https://app.mode.com/editor/ecooltra706/reports/0707b6e50b12,2510,pure,EF_postgresql,no,antic_+2anys
ABCDE Final Analysis by Oriol,eCooltra ABC(DE) Analysis,https://app.mode.com/editor/ecooltra706/reports/ade910d659d6,2488,pure,EF_postgresql,no,antic_+2anys
"Monthly ABC(DE) (No rental filter, excluding refunds)",eCooltra ABC(DE) Analysis,https://app.mode.com/editor/ecooltra706/reports/d79a2b10bfb1,2488,pure,EF_postgresql,no,antic_+2anys
"Monthly ABC(DE) (Rentals prefiltered, excluding refunds)",eCooltra ABC(DE) Analysis,https://app.mode.com/editor/ecooltra706/reports/5d60163d8892,2488,pure,EF_postgresql,no,antic_+2anys
Monthly ABC(DE)_ Milan,eCooltra ABC(DE) Analysis,https://app.mode.com/editor/ecooltra706/reports/276c4553c7d1,2488,pure,EF_postgresql,no,antic_+2anys
Monthly ABC(DE)_ Lisbon,eCooltra ABC(DE) Analysis,https://app.mode.com/editor/ecooltra706/reports/d4f87bd37f7b,2488,pure,EF_postgresql,no,antic_+2anys
Monthly ABC(DE)_ Rome,eCooltra ABC(DE) Analysis,https://app.mode.com/editor/ecooltra706/reports/9eb3e72b3e82,2488,pure,EF_postgresql,no,antic_+2anys
Monthly ABC(DE)_ Madrid,eCooltra ABC(DE) Analysis,https://app.mode.com/editor/ecooltra706/reports/7a861b5d2e85,2488,pure,EF_postgresql,no,antic_+2anys
Monthly ABC(DE)_ Barcelona,eCooltra ABC(DE) Analysis,https://app.mode.com/editor/ecooltra706/reports/f40c5c672c36,2488,pure,EF_postgresql,no,antic_+2anys
Monthly ABC(DE)_ Valencia,eCooltra ABC(DE) Analysis,https://app.mode.com/editor/ecooltra706/reports/03e6072b0e1a,2488,pure,EF_postgresql,no,antic_+2anys
Lifetime ABC(DE),eCooltra ABC(DE) Analysis,https://app.mode.com/editor/ecooltra706/reports/6db8e1a5f57d,2488,pure,EF_postgresql,no,antic_+2anys
Charges with 0% VAT,Exports,https://app.mode.com/editor/ecooltra706/reports/f0d398954e3a,2480,pure,EF_postgresql,no,antic_+2anys
PACK Campaign - Total per Pack,++ aSlack reports,https://app.mode.com/editor/ecooltra706/reports/b56b002ccfae,2467,pure,EF_postgresql,no,antic_+2anys
_NOW_ promocode report (copy),DATA,https://app.mode.com/editor/ecooltra706/reports/ade45a770a6a,2424,pure,EF_postgresql,no,antic_+2anys
Lisbon: Data for Insurance Purposes,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/e0dbe8064697,2396,pure,EF_postgresql,no,antic_+2anys
Lisbon rentals matrix of zip codes,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/299919d56258,2385,pure,EF_postgresql,no,antic_+2anys
Monthly progress of Unique Riders,Deprecated reports,https://app.mode.com/editor/ecooltra706/reports/640e5db3a5a7,2379,pure,EF_postgresql,no,antic_+2anys
Lisbon users per age range and gender,++ City Managers,https://app.mode.com/editor/ecooltra706/reports/7b93702f79f1,2322,pure,EF_postgresql,no,antic_+2anys
Swapping KPIs,DATA,https://app.mode.com/editor/ecooltra706/reports/5a9f5808f86c,2319,pure,EF_postgresql,no,antic_+2anys
MONTHLY CSV EXPORT FOR RONAN,2-ORIOL Procés tancament mensual,https://app.mode.com/editor/ecooltra706/reports/a4b15b27846a,2318,pure,EF_postgresql,no,antic_+2anys
Workshop KPIs,DATA,https://app.mode.com/editor/ecooltra706/reports/627d9bf3ba80,2314,pure,EF_postgresql,no,antic_+2anys
Monthly Retention for dormants,Cohorts,https://app.mode.com/editor/ecooltra706/reports/aa3e9899eb30,2313,pure,EF_postgresql,no,antic_+2anys
Main KPIs,DATA,https://app.mode.com/editor/ecooltra706/reports/d5aa02326edd,2294,pure,EF_postgresql,no,antic_+2anys
