data_source_name,data_source_id,data_source_alive,report_name,report_token,report_url,space_name,query_name,last_run_at,days_since_last_run,owner,is_archived
(morta/desconeguda),24116,no,24h Online Bookings tracking,ed2dacdf3196,https://app.mode.com/ecooltra706/reports/ed2dacdf3196,++ aSlack reports,01 Reservations,2020-10-24T14:11:33.251Z,2058,ecooltra706,no
(morta/desconeguda),24116,no,24h Online Bookings tracking,ed2dacdf3196,https://app.mode.com/ecooltra706/reports/ed2dacdf3196,++ aSlack reports,02 Data for chart,2020-10-24T14:11:33.251Z,2058,ecooltra706,no
EF_Gecco,25788,si,Underaged: Activated+Approved,a1ac03e91693,https://app.mode.com/ecooltra706/reports/a1ac03e91693,++ aSlack reports,Activated+Approve GECCO,2022-10-10T16:19:19.623Z,1342,ecooltra706,no
EF_Gecco,25788,si,Incorrect DL: Activated+Approved,c1255f9c1c18,https://app.mode.com/ecooltra706/reports/c1255f9c1c18,++ aSlack reports,Users with incorrect DL GECCO,2022-10-11T06:16:51.827Z,1342,ecooltra706,no
EF_Gecco,25788,si,Incorrect DL: Activated+Approved,c1255f9c1c18,https://app.mode.com/ecooltra706/reports/c1255f9c1c18,++ aSlack reports,Users with null DL GECCO,2022-10-11T06:16:51.827Z,1342,ecooltra706,no
EF_Gecco,25788,si,Unapproved users,1a956e7ca0ce,https://app.mode.com/ecooltra706/reports/1a956e7ca0ce,++ aSlack reports,Awaiting for Review GECCO,2022-10-11T06:22:55.615Z,1342,ecooltra706,no
EF_Gecco,25788,si,Unapproved users,1a956e7ca0ce,https://app.mode.com/ecooltra706/reports/1a956e7ca0ce,++ aSlack reports,Corrections requested GECCO,2022-10-11T06:22:55.615Z,1342,ecooltra706,no
EF_PRIME,22468,si,Unprocessed Problem Reports (Cooltra Prime),db03fc70ac61,https://app.mode.com/ecooltra706/reports/db03fc70ac61,++ aSlack reports,All Unprocessed Problem Reports per scooter,2021-07-06T06:18:25.276Z,1804,ecooltra706,no
EF_PRIME,22468,si,Unprocessed Problem Reports (Cooltra Prime),db03fc70ac61,https://app.mode.com/ecooltra706/reports/db03fc70ac61,++ aSlack reports,4 UNPROCESSED PROBLEM REPORTS,2021-07-06T06:18:25.276Z,1804,ecooltra706,no
EF_PRIME,22468,si,Unprocessed Problem Reports (Cooltra Prime),db03fc70ac61,https://app.mode.com/ecooltra706/reports/db03fc70ac61,++ aSlack reports,5 OR MORE,2021-07-06T06:18:25.276Z,1804,ecooltra706,no
EF_PRIME,22468,si,Unprocessed Problem Reports (Cooltra Prime),db03fc70ac61,https://app.mode.com/ecooltra706/reports/db03fc70ac61,++ aSlack reports,Query 4,2021-07-06T06:18:25.276Z,1804,ecooltra706,no
EF_PRIME,22468,si,Unprocessed Problem Reports (Cooltra Prime),db03fc70ac61,https://app.mode.com/ecooltra706/reports/db03fc70ac61,++ aSlack reports,4 or more,2021-07-06T06:18:25.276Z,1804,ecooltra706,no
EF_PRIME,22468,si,Unapproved users (Cooltra Prime),1bab33225223,https://app.mode.com/ecooltra706/reports/1bab33225223,++ aSlack reports,Awaiting review,2021-07-17T02:29:20.306Z,1793,ecooltra706,no
EF_PRIME,22468,si,Unapproved users (Cooltra Prime),1bab33225223,https://app.mode.com/ecooltra706/reports/1bab33225223,++ aSlack reports,Corrections requested,2021-07-17T02:29:20.306Z,1793,ecooltra706,no
EF_PRIME,22468,si,Unapproved users (Cooltra Prime),1bab33225223,https://app.mode.com/ecooltra706/reports/1bab33225223,++ aSlack reports,Daily evolution of activations,2021-07-17T02:29:20.306Z,1793,ecooltra706,no
EF_PRIME,22468,si,Unapproved users (Cooltra Prime),1bab33225223,https://app.mode.com/ecooltra706/reports/1bab33225223,++ aSlack reports,Activations per operator in the last 24 hours,2021-07-17T02:29:20.306Z,1793,ecooltra706,no
EF_PRIME,22468,si,Unapproved users (Cooltra Prime),1bab33225223,https://app.mode.com/ecooltra706/reports/1bab33225223,++ aSlack reports,Date of the last activated user,2021-07-17T02:29:20.306Z,1793,ecooltra706,no
EF_PRIME,22468,si,Unapproved users (Cooltra Prime),1bab33225223,https://app.mode.com/ecooltra706/reports/1bab33225223,++ aSlack reports,Query 6,2021-07-17T02:29:20.306Z,1793,ecooltra706,no
EF_PRIME,22468,si,Unapproved users (Cooltra Prime),1bab33225223,https://app.mode.com/ecooltra706/reports/1bab33225223,++ aSlack reports,Activations per operator in the last 24 hours,2021-07-17T02:29:20.306Z,1793,ecooltra706,no
EF_postgresql,18616,si,Underaged control (simple),8e4764ed8fd4,https://app.mode.com/ecooltra706/reports/8e4764ed8fd4,++ aSlack reports,Pending+Activated+Suspended,2023-02-06T13:20:12.337Z,1223,ecooltra706,no
EF_postgresql,18616,si,Unprocessed Problem Reports,2dd1c0995e44,https://app.mode.com/ecooltra706/reports/2dd1c0995e44,++ aSlack reports,Query 4,2023-02-07T09:10:40.025Z,1223,ecooltra706,no
EF_postgresql,18616,si,Unprocessed Problem Reports,2dd1c0995e44,https://app.mode.com/ecooltra706/reports/2dd1c0995e44,++ aSlack reports,4 UNPROCESSED PROBLEM REPORTS,2023-02-07T09:10:40.025Z,1223,ecooltra706,no
EF_postgresql,18616,si,Unprocessed Problem Reports,2dd1c0995e44,https://app.mode.com/ecooltra706/reports/2dd1c0995e44,++ aSlack reports,5 OR MORE,2023-02-07T09:10:40.025Z,1223,ecooltra706,no
EF_postgresql,18616,si,Unprocessed Problem Reports,2dd1c0995e44,https://app.mode.com/ecooltra706/reports/2dd1c0995e44,++ aSlack reports,All Unprocessed Problem Reports per scooter,2023-02-07T09:10:40.025Z,1223,ecooltra706,no
