report_name,report_token,report_url,space_name,owner,creator,last_run_at,days_since_last_run,is_archived,query_count,data_source_count,purity,pure_source,data_sources,has_dead_source
[ORIOL] Control Credits,804ca56d1b98,https://app.mode.com/editor/ecooltra706/reports/804ca56d1b98,1-Coses meves,ecooltra706,omarimon,2019-06-19T20:37:03.245Z,2551,no,1,1,pure,EF_postgresql,EF_postgresql,no
Locations KPIs,30aa664d4f25,https://app.mode.com/editor/ecooltra706/reports/30aa664d4f25,DATA,ecooltra706,lluiscarreras,2019-07-30T11:27:37.528Z,2511,no,6,1,pure,EF_postgresql,EF_postgresql,no
Finance monthly export per city,0707b6e50b12,https://app.mode.com/editor/ecooltra706/reports/0707b6e50b12,2-ORIOL Procés tancament mensual,ecooltra706,lluiscarreras,2019-07-30T14:44:20.547Z,2510,no,12,1,pure,EF_postgresql,EF_postgresql,no
ABCDE Final Analysis by Oriol,ade910d659d6,https://app.mode.com/editor/ecooltra706/reports/ade910d659d6,eCooltra ABC(DE) Analysis,ecooltra706,lluiscarreras,2019-08-22T12:23:52.771Z,2488,no,1,1,pure,EF_postgresql,EF_postgresql,no
"Monthly ABC(DE) (No rental filter, excluding refunds)",d79a2b10bfb1,https://app.mode.com/editor/ecooltra706/reports/d79a2b10bfb1,eCooltra ABC(DE) Analysis,ecooltra706,lluiscarreras,2019-08-22T12:14:52.952Z,2488,no,3,1,pure,EF_postgresql,EF_postgresql,no
"Monthly ABC(DE) (Rentals prefiltered, excluding refunds)",5d60163d8892,https://app.mode.com/editor/ecooltra706/reports/5d60163d8892,eCooltra ABC(DE) Analysis,ecooltra706,lluiscarreras,2019-08-22T12:07:01.325Z,2488,no,3,1,pure,EF_postgresql,EF_postgresql,no
Monthly ABC(DE)_ Milan,276c4553c7d1,https://app.mode.com/editor/ecooltra706/reports/276c4553c7d1,eCooltra ABC(DE) Analysis,ecooltra706,lluiscarreras,2019-08-22T11:36:00.010Z,2488,no,3,1,pure,EF_postgresql,EF_postgresql,no
Monthly ABC(DE)_ Lisbon,d4f87bd37f7b,https://app.mode.com/editor/ecooltra706/reports/d4f87bd37f7b,eCooltra ABC(DE) Analysis,ecooltra706,lluiscarreras,2019-08-22T11:32:15.107Z,2488,no,3,1,pure,EF_postgresql,EF_postgresql,no
Monthly ABC(DE)_ Rome,9eb3e72b3e82,https://app.mode.com/editor/ecooltra706/reports/9eb3e72b3e82,eCooltra ABC(DE) Analysis,ecooltra706,lluiscarreras,2019-08-22T11:30:43.866Z,2488,no,3,1,pure,EF_postgresql,EF_postgresql,no
Monthly ABC(DE)_ Madrid,7a861b5d2e85,https://app.mode.com/editor/ecooltra706/reports/7a861b5d2e85,eCooltra ABC(DE) Analysis,ecooltra706,lluiscarreras,2019-08-22T11:28:53.809Z,2488,no,3,1,pure,EF_postgresql,EF_postgresql,no
Monthly ABC(DE)_ Barcelona,f40c5c672c36,https://app.mode.com/editor/ecooltra706/reports/f40c5c672c36,eCooltra ABC(DE) Analysis,ecooltra706,lluiscarreras,2019-08-22T11:26:02.517Z,2488,no,3,1,pure,EF_postgresql,EF_postgresql,no
Monthly ABC(DE)_ Valencia,03e6072b0e1a,https://app.mode.com/editor/ecooltra706/reports/03e6072b0e1a,eCooltra ABC(DE) Analysis,ecooltra706,lluiscarreras,2019-08-22T07:51:02.492Z,2488,no,3,1,pure,EF_postgresql,EF_postgresql,no
Lifetime ABC(DE),6db8e1a5f57d,https://app.mode.com/editor/ecooltra706/reports/6db8e1a5f57d,eCooltra ABC(DE) Analysis,ecooltra706,lluiscarreras,2019-08-22T06:21:33.568Z,2488,no,7,1,pure,EF_postgresql,EF_postgresql,no
Charges with 0% VAT,f0d398954e3a,https://app.mode.com/editor/ecooltra706/reports/f0d398954e3a,Exports,ecooltra706,lluiscarreras,2019-08-30T11:07:47.273Z,2480,no,1,1,pure,EF_postgresql,EF_postgresql,no
PACK Campaign - Total per Pack,b56b002ccfae,https://app.mode.com/editor/ecooltra706/reports/b56b002ccfae,++ aSlack reports,ecooltra706,omarimon,2019-09-12T11:22:50.694Z,2467,no,5,1,pure,EF_postgresql,EF_postgresql,no
_NOW_ promocode report (copy),ade45a770a6a,https://app.mode.com/editor/ecooltra706/reports/ade45a770a6a,DATA,ecooltra706,lluiscarreras,2019-10-25T00:44:35.045Z,2424,no,13,1,pure,EF_postgresql,EF_postgresql,no
Lisbon: Data for Insurance Purposes,e0dbe8064697,https://app.mode.com/editor/ecooltra706/reports/e0dbe8064697,++ City Managers,ecooltra706,lluiscarreras,2019-11-22T11:25:51.984Z,2396,no,3,1,pure,EF_postgresql,EF_postgresql,no
